fecha,year,mes,logo,color,procedencia,peso_mg,diametro_mm,divisible,imagen,imagen_rear,sustancia_1,valor_1_mg,unidad_1,sustancia_2,valor_2_mg,unidad_2,sustancia_3,valor_3_mg,unidad_3,sustancia_4,valor_4_mg,unidad_4,sustancia_5,valor_5_mg,unidad_5,sustancia_6,valor_6_mg,unidad_6,sustancia_7,valor_7_mg,unidad_7,sustancia_8,valor_8_mg,unidad_8,sustancia_9,valor_9_mg,unidad_9,sustancia_10,valor_10_mg,unidad_10,sustancia_11,valor_11_mg,unidad_11,ruta_imagen,ruta_imagen_rear
2015-09-26,2015,9,Chupa Chups,Amarillo,Baleares,0,0,,https://api.energycontrol.org/pilltable/images/image.6d1a88.jpg,,MDMA,32.52,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-26,2015,10,,Azul,Barcelona,301,8,,https://api.energycontrol.org/pilltable/images/ec45582015.f83bcc.jpg,,MDMA,117.0,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-30,2015,10,Louis Vuitton LV,Azul,Baleares,0,12,,https://api.energycontrol.org/pilltable/images/812317776_864352211548226837.08b7ee.jpg,,MDMA,24.3,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-05,2015,11,Pitufo,Blanco,Madrid,354,10,,https://api.energycontrol.org/pilltable/images/BertaSalvaje copia.12b629.jpg,,2C-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-05,2015,11,Bala Mario,Marrón,Madrid,360,9,,https://api.energycontrol.org/pilltable/images/4748-1.2425e3.jpg,,MDMA,198.0,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenes\4748-1.2425e3.jpg,
2015-11-05,2015,11,No identificable,Marrón,Madrid,360,10,,https://api.energycontrol.org/pilltable/images/4767-1.c05a66.jpg,,Anfetamina Sulfato,5.0,mg,MDA,61.0,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenes\4767-1.c05a66.jpg,
2015-11-20,2015,11,Apple,Rosa,Baleares,380,12,,https://api.energycontrol.org/pilltable/images/812730505_10720729673891478427.d0a220.jpg,,MDMA,121.0,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenes\812730505_10720729673891478427.d0a220.jpg,
2015-11-30,2015,11,Otros,Marrón,Barcelona,197,0,,https://api.energycontrol.org/pilltable/images/ec49042015.8b0c50.jpg,,MDMA,94.0,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenes\ec49042015.8b0c50.jpg,
2016-01-28,2016,1,Silver,Gris,Baleares,400,12,,https://api.energycontrol.org/pilltable/images/421307432_5257188115915806874.d7c3e1.jpg,,MDMA,212.0,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenes\421307432_5257188115915806874.d7c3e1.jpg,
2016-02-05,2016,2,Hello Kitty,Rosa,Baleares,271,9,,https://api.energycontrol.org/pilltable/images/816233029_18135543200672146076.93fd34.jpg,,MDMA,133.0,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenes\816233029_18135543200672146076.93fd34.jpg,
2016-03-05,2016,3,Superman,Azul,Baleares,324,0,,https://api.energycontrol.org/pilltable/images/IMG_2016-03-05 22:30:35.d776b8.jpg,,MDMA,139.0,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-31,2016,3,Hello Kitty,Azul,Baleares,270,8,,https://api.energycontrol.org/pilltable/images/421223945_15843542285104275805.73bc26.jpg,,MDMA,113.0,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-07,2016,4,Optimus,Amarillo,Baleares,255,8,,https://api.energycontrol.org/pilltable/images/421906776_16868584530806082259.4798b6.jpg,,MDMA,66.0,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenes\421906776_16868584530806082259.4798b6.jpg,
2016-04-25,2016,4,Transformer,Amarillo,Barcelona,430,8,,https://api.energycontrol.org/pilltable/images/ec98213.75a56c.jpg,,MDMA,227.0,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenes\ec98213.75a56c.jpg,
2016-04-25,2016,4,Transformer,Rosa,Barcelona,410,8,,https://api.energycontrol.org/pilltable/images/ec98214.783087.jpg,,MDMA,178.0,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenes\ec98214.783087.jpg,
2016-05-09,2016,5,Silver,Gris,Barcelona,464,13,,https://api.energycontrol.org/pilltable/images/ec98378.23b6e4.jpg,,MDMA,223.0,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenes\ec98378.23b6e4.jpg,
2016-05-09,2016,5,Rolls Royce,Azul,Barcelona,338,12,,https://api.energycontrol.org/pilltable/images/ec98377.4560fc.jpg,,MDMA,131.0,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenes\ec98377.4560fc.jpg,
2016-06-02,2016,6,Red Bull,Rosa,Baleares,537,12,,https://api.energycontrol.org/pilltable/images/811708372_1392723583697634012.e6951c.jpg,,MDMA,152.0,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenes\811708372_1392723583697634012.e6951c.jpg,
2016-06-06,2016,6,Silver,Gris,Barcelona,427,13,,https://api.energycontrol.org/pilltable/images/ec98722.b38beb.jpg,,MDMA,144.0,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenes\ec98722.b38beb.jpg,
2016-06-06,2016,6,,Verde,Barcelona,413,12,,https://api.energycontrol.org/pilltable/images/ec98704.9e9f1c.jpg,,MDMA,106.0,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenes\ec98704.9e9f1c.jpg,
2016-06-06,2016,6,,Blanco,Barcelona,271,10,,https://api.energycontrol.org/pilltable/images/ec98703.df4e86.jpg,,MDMA,114.0,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenes\ec98703.df4e86.jpg,
2016-06-06,2016,6,Ruta 66,Azul,Barcelona,340,8,,https://api.energycontrol.org/pilltable/images/ec98702.0c50c2.jpg,,MDMA,134.0,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenes\ec98702.0c50c2.jpg,
2016-06-06,2016,6,Delfin,Blanco Oscuro,Barcelona,309,8,,https://api.energycontrol.org/pilltable/images/ec98737.d8df6d.jpg,,MDMA,47.0,mg,Cafeína,2.0,mg,Subproductes de síntesis,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenes\ec98737.d8df6d.jpg,
2016-06-13,2016,6,Music On,Gris,Tarragona,370,14,,https://api.energycontrol.org/pilltable/images/ec98818.ab4787.jpg,,MDMA,240.0,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenes\ec98818.ab4787.jpg,
2016-06-13,2016,6,Otros,Rojo,Tarragona,461,9,,https://api.energycontrol.org/pilltable/images/ec98817.dfacbc.jpg,,MDMA,159.0,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenes\ec98817.dfacbc.jpg,
2016-06-13,2016,6,,Blanco,Barcelona,229,10,,https://api.energycontrol.org/pilltable/images/ec98812.a70896.jpg,,Medicamento,,,No definida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenes\ec98812.a70896.jpg,
2016-06-13,2016,6,,Blanco,Barcelona,258,10,,https://api.energycontrol.org/pilltable/images/ec98809.5c4241.jpg,,Ninguna sustancia activa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenes\ec98809.5c4241.jpg,
2016-06-13,2016,6,Chupa Chups,Rosa,Barcelona,0,0,,https://api.energycontrol.org/pilltable/images/ec98794.605af0.jpg,,MDMA,148.0,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenes\ec98794.605af0.jpg,
2016-06-16,2016,6,Dolce Gabbana,Rosa,Baleares,0,10,,https://api.energycontrol.org/pilltable/images/423728262_8709624895757413252.dc7b16.jpg,,MDMA,168.0,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenes\423728262_8709624895757413252.dc7b16.jpg,
2016-06-17,2016,6,Silver,Gris,Barcelona,435,0,,https://api.energycontrol.org/pilltable/images/ec98888.6b4b9a.jpg,,MDMA,206.0,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenes\ec98888.6b4b9a.jpg,
2016-06-17,2016,6,,Amarillo,Tarragona,271,0,,https://api.energycontrol.org/pilltable/images/ec98868.bc6bec.jpg,,2C-B,20.0,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenes\ec98868.bc6bec.jpg,
2016-06-17,2016,6,Silver,Gris,Barcelona,400,0,,https://api.energycontrol.org/pilltable/images/ec98887.c5eeca.jpg,,MDMA,219.0,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenes\ec98887.c5eeca.jpg,
2016-06-17,2016,6,Ángel,Verde,Barcelona,376,12,,https://api.energycontrol.org/pilltable/images/ec98889.47d30f.jpg,,MDMA,189.0,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenes\ec98889.47d30f.jpg,
2016-06-17,2016,6,Chupa Chups,Rojo,Barcelona,455,9,,https://api.energycontrol.org/pilltable/images/ec98909.03a3e0.jpg,,MDMA,128.0,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenes\ec98909.03a3e0.jpg,
2016-06-17,2016,6,,Amarillo,Barcelona,480,12,,https://api.energycontrol.org/pilltable/images/ec98895.f149b2.jpg,,MDMA,200.0,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenes\ec98895.f149b2.jpg,
2016-06-18,2016,6,Oso,Rosa,Barcelona,413,0,,https://api.energycontrol.org/pilltable/images/ec98963.268b4a.jpg,,MDMA,116.0,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenes\ec98963.268b4a.jpg,
2016-06-18,2016,6,Otros,Gris,Barcelona,594,8,,https://api.energycontrol.org/pilltable/images/ec98974.9ed77d.jpg,,Ninguna sustancia activa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenes\ec98974.9ed77d.jpg,
2016-06-18,2016,6,,Verde,Barcelona,335,8,,https://api.energycontrol.org/pilltable/images/ec98976.79b09b.jpg,,Ninguna sustancia activa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenes\ec98976.79b09b.jpg,
2016-06-18,2016,6,Music On,Gris,Barcelona,340,13,,https://api.energycontrol.org/pilltable/images/ec98985.03ffdb.jpg,,MDMA,84.0,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenes\ec98985.03ffdb.jpg,
2016-06-18,2016,6,Whatsapp,Verde,Barcelona,281,9,,https://api.energycontrol.org/pilltable/images/ec98964.88c328.jpg,,MDMA,85.0,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenes\ec98964.88c328.jpg,
2016-06-18,2016,6,Armani,Rojo,Barcelona,440,0,,https://api.energycontrol.org/pilltable/images/ec98987.51ee7f.jpg,,MDMA,147.0,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenes\ec98987.51ee7f.jpg,
2016-06-18,2016,6,Music On,Rosa,Barcelona,350,14,,https://api.energycontrol.org/pilltable/images/ec98988.8f1724.jpg,,MDMA,190.0,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenes\ec98988.8f1724.jpg,
2016-06-18,2016,6,Gold,Naranja,Barcelona,332,11,,https://api.energycontrol.org/pilltable/images/ec98990.f2d415.jpg,,MDMA,122.0,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenes\ec98990.f2d415.jpg,
2016-06-18,2016,6,Sol,Gris,Barcelona,530,8,,https://api.energycontrol.org/pilltable/images/ec98993.5a87bf.jpg,,Ninguna sustancia activa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenes\ec98993.5a87bf.jpg,
2016-06-18,2016,6,,Gris,Barcelona,365,14,,https://api.energycontrol.org/pilltable/images/ec98960.888e37.jpg,,MDMA,200.0,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenes\ec98960.888e37.jpg,
2016-06-18,2016,6,Gold,Blanco,Barcelona,312,10,,https://api.energycontrol.org/pilltable/images/ec98986.7a8362.jpg,,MDMA,187.0,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imagenes\ec98986.7a8362.jpg,
